21			
3	24		
6			
3	24		
4	24		
5	24		
6	24		
5	24		
4	24		
			
3	21		
8			
3	21		
4	21		
5	21		
6	21		
5	21		
4	21		
4	21		
3	21		
			
4	15		
8			
4	15		
4	16		
4	17		
4	18		
4	19		
4	18		
4	17		
4	16		
			
5	18		
2			
5	18		
6	18		
			
12	24		
8			
12	24		
12	23		
12	22		
12	21		
12	20		
12	21		
12	22		
12	23		
			
13	15		
8			
13	15		
12	15		
11	15		
10	15		
9	15		
10	15		
11	15		
12	15		
			
15	21		
4			
15	21		
14	21		
13	21		
14	21		
			
17	9		
8			
17	9		
17	10		
17	11		
17	12		
17	13		
17	12		
17	11		
17	10		
			
18	10		
8			
18	10		
18	11		
18	12		
18	13		
18	14		
18	13		
18	12		
18	11		
			
19	10		
8			
19	10		
19	11		
19	12		
19	13		
19	14		
19	13		
19	12		
19	11		
			
19	3		
4			
19	3		
20	3		
21	3		
20	3		
			
20	4		
6			
20	4		
21	4		
22	4		
23	4		
22	4		
21	4		
			
21	5		
4			
21	5		
22	5		
23	5		
22	5		
			
21	10		
6			
21	10		
22	10		
23	10		
23	11		
22	11		
21	11		
			
23	15		
10			
23	15		
22	15		
21	15		
20	15		
19	15		
18	15		
19	15		
20	15		
21	15		
22	15		
			
22	24		
4			
22	24		
22	25		
22	26		
22	25		
			
25	24		
8			
25	24		
24	24		
24	23		
24	22		
24	21		
24	22		
24	23		
24	24		
			
24	8		
6			
24	8		
25	8		
26	8		
27	8		
26	8		
25	8		
			
28	2		
10			
28	2		
28	3		
29	3		
30	3		
30	4		
30	5		
30	4		
30	3		
29	3		
28	3		
			
33	16		
8			
33	16		
32	16		
31	16		
30	16		
29	16		
30	16		
31	16		
32	16		
			
34	12		
10			
34	12		
34	13		
33	13		
32	13		
31	13		
30	13		
31	13		
32	13		
33	13		
34	13		
